timestamp_measurement,HR,AVNN,SDNN,rMSSD,pNN50,LF,HF,HRV4T_Recovery_Points
2021-01-19 06:59:48,46,,,98.39699999999999,,,,7.9
2021-01-20 06:29:40,45,,,87.1359,,,,7.1
2021-01-21 08:32:16,46,,,97.06739999999999,,,,7.7
2021-01-22 07:40:28,50,,,88.2508,,,,7.4
2021-01-23 08:13:00,56,,,90.27640000000001,,,,6.9
2021-01-24 08:31:10,47,,,88.02709999999999,,,,5.8
2021-01-25 07:38:11,54,,,72.0429,,,,4.2
2021-01-26 06:50:38,50,,,86.714,,,,5.9
2021-01-27 07:47:58,52,,,67.6414,,,,3.6
2021-01-28 06:59:06,51,,,90.0317,,,,7.2
2021-01-29 07:36:40,47,,,88.87950000000001,,,,7.2
2021-01-30 07:12:13,49,,,116.983,,,,9.2
2021-01-31 08:19:11,49,,,82.0803,,,,5.3
2021-02-01 07:27:42,46,,,109.277,,,,9.1
2021-02-02 05:26:48,51,,,79.62429999999999,,,,5.2
2021-02-03 07:57:01,41,,,154.168,,,,9.7
2021-02-04 07:04:20,46,,,100.326,,,,7.3
2021-02-05 07:27:16,46,,,105.686,,,,7.5
2021-02-06 05:59:38,50,,,86.0053,,,,5.0
2021-02-07 06:15:04,46,,,87.0923,,,,5.1
2021-02-08 05:48:11,51,,,104.91300000000001,,,,7.0
2021-02-09 05:39:29,47,,,103.838,,,,7.2
2021-02-11 06:10:00,50,,,97.3848,,,,6.1
2021-02-12 06:53:23,48,,,103.882,,,,7.4
2021-02-13 06:40:13,60,,,64.24549999999999,,,,2.6
2021-02-14 01:48:51,54,,,62.895,,,,2.1
2021-02-15 06:47:10,53,,,78.3982,,,,4.3
2021-02-16 06:52:53,50,,,82.3616,,,,5.3
2021-02-17 06:44:47,46,,,85.1198,,,,6.1
2021-02-18 07:07:34,47,,,79.0894,,,,5.5
2021-02-19 06:29:46,52,,,68.2117,,,,3.9
2021-02-20 06:46:16,56,,,84.3076,,,,5.4
2021-02-21 07:30:12,56,,,86.02369999999999,,,,5.8
2021-02-22 07:00:35,54,,,66.1786,,,,2.9
2021-02-23 06:11:34,49,,,85.0311,,,,6.3
2021-02-24 05:58:32,54,,,83.6639,,,,5.3
2021-02-25 07:04:42,53,,,80.6722,,,,5.3
2021-02-26 06:50:19,56,,,110.383,,,,9.0
2021-02-27 06:35:20,54,,,67.7851,,,,3.6
2021-02-28 01:26:27,50,,,77.11619999999999,,,,3.9
2021-03-02 08:16:08,51,,,56.410799999999995,,,,2.4
2021-03-03 08:27:44,45,,,96.9435,,,,8.0
2021-03-04 07:08:19,48,,,80.6614,,,,5.9
2021-03-05 06:51:12,47,,,84.96910000000001,,,,6.7
2021-03-06 07:17:44,46,,,92.1172,,,,7.7
2021-03-07 05:17:16,52,,,81.7807,,,,4.8
2021-03-19 07:50:12,47,,,84.5906,,,,7.4
2021-03-20 07:57:17,50,,,70.0592,,,,5.6
2021-03-22 07:30:02,48,,,87.3317,,,,8.2
